Step,Acc,Loss
1226,0.906,0.34
1227,0.906,0.34
1228,0.891,0.38
1229,0.891,0.38
1230,0.922,0.27
1231,0.922,0.27
1232,0.906,0.36
1233,0.906,0.36
1234,0.891,0.28
1235,0.891,0.28
1236,0.891,0.33
1237,0.891,0.33
1238,0.953,0.24
1239,0.953,0.24
1240,0.859,0.49
1241,0.859,0.49
1242,0.859,0.4
1243,0.859,0.4
1244,0.906,0.26
1245,0.906,0.26
1246,0.859,0.38
1247,0.859,0.38
1248,0.844,0.51
1249,0.844,0.51
1250,0.922,0.25
1251,0.922,0.25
1252,0.875,0.38
1253,0.875,0.38
1254,0.906,0.27
1255,0.906,0.27
1256,0.938,0.31
1257,0.938,0.31
1258,0.859,0.33
1259,0.859,0.33
1260,0.859,0.36
1261,0.859,0.36
1262,0.859,0.43
1263,0.859,0.43
1264,0.891,0.36
1265,0.891,0.36
1266,0.812,0.54
1267,0.812,0.54
1268,0.875,0.27
1269,0.875,0.27
1270,0.922,0.29
1271,0.922,0.29
1272,0.891,0.43
1273,0.891,0.43
1274,0.922,0.29
1275,0.922,0.29
1276,0.891,0.23
1277,0.891,0.23
1278,0.938,0.21
1279,0.938,0.21
1280,0.906,0.37
1281,0.906,0.37
1282,0.922,0.29
1283,0.922,0.29
1284,0.844,0.4
1285,0.844,0.4
1286,0.859,0.45
1287,0.859,0.45
1288,0.828,0.51
1289,0.828,0.51
1290,0.953,0.24
1291,0.953,0.24
1292,0.953,0.26
1293,0.953,0.26
1294,0.906,0.4
1295,0.906,0.4
1296,0.906,0.39
1297,0.906,0.39
1298,0.875,0.41
1299,0.875,0.41
1300,0.859,0.42
1301,0.859,0.42
1302,0.922,0.36
1303,0.922,0.36
1304,0.906,0.35
1305,0.906,0.35
1306,0.875,0.39
1307,0.875,0.39
1308,0.922,0.31
1309,0.922,0.31
1310,0.906,0.34
1311,0.906,0.34
1312,0.875,0.39
1313,0.875,0.39
1314,0.922,0.22
1315,0.922,0.22
1316,0.891,0.3
1317,0.891,0.3
1318,0.922,0.34
1319,0.922,0.34
1320,0.891,0.4
1321,0.891,0.4
1322,0.844,0.45
1323,0.844,0.45
1324,0.922,0.28
1325,0.922,0.28
1326,0.844,0.41
1327,0.844,0.41
1328,0.891,0.33
